Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.2146341463415,76.6365853658537,77.6878048780488,77.9878048780488,78.0390243902439,78.390243902439,78.5414634146342,78.6414634146341,78.7414634146342,78.8414634146341,78.9414634146341,79.1583658536586
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.081,2.056,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8575,1.8615,1.881
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,57.0788,46.4526,40.3754,39.669,37.7398,35.8106,33.8814,31.9522,30.023,27.0666,24.1102,..
United States,USA,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,70.7,..,..,..,77.1,..,76.4,..,..,..,..,..
United States,USA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,99.2,..,..,..,..,..
United States,USA,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,11.2,8.4,7.9,7.8,7.7,7.5,7.4,7.2,7.1,6.9,6.7,6.5
United States,USA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,0.800000011920929,..,..,0.5,..,..,..
United States,USA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,91,92,92,92,90,92,92,92,91,91,..
United States,USA,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,105.16212,102.52357,101.59885,102.7861,103.38163,102.33552,100.60182,99.89648,99.56441,99.42177,..,..
United States,USA,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,91.00752,93.17204,95.40375,96.07394,95.97542,95.41825,94.31131,94.67605,94.98032,95.92958,..,..
United States,USA,"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00497,1.00012,1.00745,1.00754,1.00381,1.01385,1.00479,1.00869,0.9984,0.99954,..,..
United States,USA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,3024500,3035360,3055496,3063422,3071348,3079274,3087200,3089950,3092700,3095450,3098200,3100950
United States,USA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,10.45,11.86,..,..,..,..,..,..,..,..,14.82,..
United States,USA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,16.9765791341377,..,..,..,..,..,..,16.9765791341377,..
United States,USA,Improved water source (% of population with access),SH.H2O.SAFE.ZS,98.4,98.8,99,99,99,99.1,99.1,99.1,99.1,99.2,99.2,99.2
United States,USA,Improved sanitation facilities (% of population with access),SH.STA.ACSN,99.5,99.7,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100
United States,USA,Urban population growth (annual %),SP.URB.GROW,1.41025628541903,1.51201139138713,1.17796815968651,1.16306776101756,1.15618567133535,1.08529029428822,1.04178246340233,0.972454437935826,0.97127334416914,0.96470556997036,0.95168892070132,..
United States,USA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,7671.7730657832,8056.86384994775,7697.65253500041,7758.16570027554,7488.08163789741,7056.77721481122,7161.51259845346,7029.18418892405,6812.28454386272,6914.31218463439,6918.518535152,..
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.3233681671961,20.2076147591466,19.1161388237155,19.2374604467856,18.4892337521751,17.192379097866,17.4847921827813,17.0202163384029,..,..,..,..
United States,USA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,11713.3317042099,13671.0520240061,13583.2669593387,13657.4495085431,13663.4246797255,12913.7114285466,13394.0146067076,13240.3579870902,12954.1532624543,12985.3777595504,..,..
United States,USA,GDP at market prices (current US$),NY.GDP.MKTP.CD,5979589000000,10284779000000,13855888000000,14477635000000,14718582000000,14418739000000,14964372000000,15517926000000,16163158000000,16768053000000,17419000000000,..
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.91937029742549,4.09217644881066,2.666625826122,1.77857023965289,-0.291621458693953,-2.77552957416808,2.53192061616315,1.60145467247139,2.32108445977606,2.21930802533575,2.38819999999969,..
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.69915670345064,2.27551980515122,3.07226662502413,2.66133639357713,1.96161238330106,0.759434764489896,1.22134939747505,2.0646274665789,1.79522517543293,1.49005386948258,1.45902231854427,..
United States,USA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,1.17402070367038,1.04360604889818,1.07073429728857,1.14088012979611,1.0417339637032,1.16336446820417,1.36233515615426,1.29263554024038,1.44578894675602,..,..
United States,USA,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,..,23.2146498328529,22.3752556055131,22.1885982696399,21.6365599660578,20.1505932039391,20.3294435155691,20.5566339393422,20.5603064237057,20.5020346268285,..,..
United States,USA,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,..,75.6113294634768,76.5811383455887,76.7406674330715,77.2225599041461,78.8076728323577,78.5071920162267,78.0810309045036,78.1470580360539,78.0521764264155,..,..
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.22929652857412,10.664643353056,10.6547916669072,11.4979069440554,12.5143984658305,11.0116564284852,12.3783009403936,13.5737920131853,13.5999555284926,13.4974149950504,13.4445146104828,..
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,10.5313090916449,14.3185381037356,16.218830579462,16.4610241935233,17.4270116509865,13.7541708744433,15.8041513536285,17.3113726666824,17.09965404038,16.5293680786911,16.4871691830759,..
United States,USA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.4699940079494,23.5689254966004,23.333014816517,22.351352966144,20.7862435389496,17.5129329964292,18.3945975146835,18.5447559164801,19.3411448431055,19.4256357610511,19.8398300706126,..
United States,USA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,18.1557631447914,20.5084624389498,18.537461500959,18.6139516626852,17.2633485420267,15.6609394820449,10.0128491860534,10.909930876072,11.0386967695298,12.3899178992337,19.1275049855904,..
United States,USA,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,-3.65643765282196,2.22629946549167,-3.51122233643921,-3.86107894334952,-6.78704495767323,-11.8042776479691,-6.82863938426551,-5.33501061933148,-3.78090098481992,-1.41966989250332,-5.06502118780642,..
United States,USA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,6.2,5.6,5.6
United States,USA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,145.220750369523,190.962274914862,226.322290507345,235.717661211779,216.762890895141,231.36073982309,227.134149308582,227.223274352285,235.054084266205,..,253.501718336755,..
United States,USA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.4365033516518,12.9281340861481,11.4485629477375,11.4907575805579,10.0304496571749,8.21403340749839,8.61080571907729,9.58908426293565,9.81629951275611,10.5331429951945,11.7426373169528,..
United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.12025157581901,2.93343201638071,3.80820052817979,3.84704407867721,4.22004646915036,4.63679244072592,4.66561510232437,4.58397597720211,4.23667206618905,3.81501656751681,3.50142947356335,..
United States,USA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2.07580236597907,38.4680910528825,76.2935384187826,82.0641447853526,85.2091651682425,88.6236461127594,91.311652018589,94.4404259641603,96.0103760924709,97.0777393917782,110.20419345959,..
United States,USA,Internet users (per 100 people),IT.NET.USER.P2,0.784728502202794,43.0791626375201,68.9311932699721,75,74,71,71.69,69.7294607619268,79.3,84.2,87.36,..
United States,USA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,32.5299673313318,33.7876105780024,30.0569992880515,27.222664596901,25.9203321683644,21.4876897855956,19.9680138524787,18.1056830408946,17.776885094684,17.818696866679,18.229382922769,..
United States,USA,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,15.2281201935451,19.8469796968899,21.2476024632994,21.8861851400453,23.4868352127943,18.4574996468138,21.7027410171306,24.156140356643,24.0189882447477,23.3101171614856,23.1533321296917,..
United States,USA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,102.7027027027,100,95.9542851903,96.5617369463,91.8123575854,98.9534362733,97.1080409218,94.6125681108,94.6867358812,95.3387481315,95.8862361848,..
United States,USA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Net migration,SM.POP.NETM,..,..,..,5070253,..,..,..,..,5007887,..,..,..
United States,USA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1170000000,4395000000,5068000000,5219000000,5364000000,5740000000,5930000000,6104000000,6303000000,6757000000,6908000000,..
United States,USA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,48490000000,321274000000,294288000000,340065000000,332734000000,153788000000,259344000000,257410000000,232001000000,287162000000,131829000000,..
United States,USA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,32729740,37057453,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026,43417000
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.43457557064208,1.11091620450466,1.0501665291824,1.03398372181811,1.02539283308112,1.02680978008519,1.03445486935138,1.04428767328593,1.04980926143269,1.04706505456002,1.03305555285726,..
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,11.9596081397601,13.5409757773076,14.4549620161582,14.605199346656,14.7557304627123,14.9080242921193,15.063041484421,15.2211671764065,15.3818021040015,15.5437057174908,15.7051131110941,..
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,5.7,4.12,3.49,2.97,3.05,2.05,1.53,1.63,1.75,..,..
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,103869964076.715,275544319823.424,243362392826.934,292289649030.303,346268245506.721,373600970526.567,432225147588.688,493237294578.028,549867585793.162,600110634147.21,579220056948.799,..
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3170,7440,6150,7310,8570,9160,10490,11840,13060,14110,13480,..
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,..,3.19,3.58,3.86,3.93,3.93,4.36,4.58,4.73,4.75,..,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.5436585365854,73.7558048780488,74.8499024390244,75.0090487804878,75.1662682926829,75.3245609756098,75.4849756097561,75.6490487804878,75.816243902439,75.9860975609756,76.1586097560976,76.3342195121951
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.989,2.561,2.432,2.413,2.396,2.382,2.37,2.358,2.347,2.335,2.322,2.308
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,73.2812,66.8976,61.4612,60.586,61.264,61.942,62.62,63.298,63.976,63.9136,63.8512,..
Argentina,ARG,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,55.4,76.6,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,99.4,99.4,94.8,97.9,94.97,97.14,98.2,97.04,..,..
Argentina,ARG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,27.6,20.2,16.4,15.8,15.4,15,14.6,14.2,13.8,13.3,12.9,12.5
Argentina,ARG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,91,97,94,96,99,98,95,94,94,95,..
Argentina,ARG,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,..,98.49374,99.1302,101.84921,105.08731,104.98727,104.80879,104.41399,103.22477,100.87737,..,..
Argentina,ARG,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,106.56157,113.21109,112.98489,113.29078,113.21364,112.02405,110.83512,108.3549,112.97826,110.56599,..,..
Argentina,ARG,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,71.15185,86.39855,83.90087,83.75379,84.84822,87.53422,89.24981,90.67163,105.19255,106.32314,..,..
Argentina,ARG,"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,1.00814,1.04089,1.04552,1.0511,1.04461,1.03869,1.0393,1.03367,1.03008,..,..
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,..
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,347930,318600,298680,295500,292320,289140,285960,282992,280024,277056,274088,271120
Argentina,ARG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,3.25,4.28,..,..,..,..,..,..,..,..,5.37,..
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,12.9383561643836,..,12.9383561643836,..
Argentina,ARG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,93.8,96.3,97.5,97.7,97.9,98.1,98.2,98.4,98.6,98.8,98.9,99.1
Argentina,ARG,Improved sanitation facilities (% of population with access),SH.STA.ACSN,87.4,91.4,93.5,93.9,94.2,94.5,94.9,95.2,95.5,95.8,96.1,96.4
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.86200409285755,1.32428748150993,1.25199592185262,1.23209156626324,1.22089953243591,1.21753086673578,1.2226130999074,1.22770693761002,1.22741303170623,1.21888727519024,1.19912436653272,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1407.56437417468,1661.60550753448,1841.98580592157,1846.93675638893,1924.37262671903,1852.32314478318,1909.7257044784,1918.5063785877,1906.62981149596,1894.6178719302,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.44071080308001,3.80697572496415,4.40452504186811,4.49683365506291,4.74417840089585,4.42796011269101,4.34227205162182,4.56204851225823,..,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1299.55202821654,2078.2863841182,2357.96126015104,2438.00941923727,2752.12682130046,2708.98729200318,2847.3268785838,2901.36148748827,2954.53945084126,3093.353228187,..,..
Argentina,ARG,GDP at market prices (current US$),NY.GDP.MKTP.CD,141352368714.691,284203750000,262666517346.674,329317513142.711,403781994527.786,376627876887.774,461640242696.171,557890203658.125,604378456915.58,614383517369.503,537659972702.092,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.39895921890113,-0.788998929008571,8.40286856609245,7.96557324797851,3.07494550317222,0.0500244563851311,9.45157833146635,8.38645145563733,0.801760179229973,2.88535188297459,0.45360547903708,..
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2076.79347310304,1.03728709049842,15.2424334139013,17.6789209711745,21.2456715033139,9.88504085289779,17.2105724723852,17.7976859991023,18.6664479868475,19.7124714130445,29.3413646026982,..
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,8.12367620787489,5.05302148878072,7.69751662601912,8.78110692834489,7.22788615986988,6.23480527117392,8.1751316089792,7.49246451037583,6.69742129890321,7.38458996809024,8.31352404775114,..
Argentina,ARG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,36.0218813478135,28.0630654161225,35.1118287848407,33.6056463181111,33.119082506802,31.7352863757781,30.9040009435871,31.1276449786328,29.7894829871528,28.7862622554011,28.7613473734568,..
Argentina,ARG,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,55.8544476443929,66.8839130950968,57.1906545891401,57.6132467535441,59.6530312436525,62.029908353048,60.9208672562218,61.3798904106876,63.513095713944,63.8291477420591,62.9251285868245,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.3595365925264,10.986396203428,20.3417303814157,19.7528793307249,19.7291019231999,17.2651359184321,17.3676375596372,17.5637162059635,15.4803096289206,14.3239961102769,14.7857287974793,..
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,4.63132240741775,11.6361061386417,15.5525939652822,16.1087501646024,16.5413533266536,12.9176898303401,14.8447403469592,16.007843780573,13.7160134417612,14.3958491202542,14.4918513486447,..
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,13.9969815756662,16.1926962610451,20.889283248171,22.2494001624083,21.0233159913108,16.147267633988,19.0978925655273,19.7372031208144,17.0086349926182,18.548058562924,19.5433704918752,..
Argentina,ARG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,..,..,30,30,30.5,25.5,25,25,25,25,25,25
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,32.4207077674654,34.4516920194227,24.9396557987575,22.554634682124,19.6649907459552,22.689342557896,23.2463807359376,24.9436648068636,29.1885818606078,32.6180833658115,35.624443926219,..
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.45091554117098,1.14882368723143,0.697879247367395,0.691981964580775,0.682994134877242,0.783761711581476,0.747778636335571,0.720326045917766,0.748596481666467,0.823482588736399,0.90853541344597,..
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.0367817512490623,17.5810590485609,80.8188264138509,102.721528270687,117.221183351189,131.129449217276,141.383021999383,149.090622449436,156.56475598674,162.527421663231,158.798561112357,..
Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,0,7.0386830862178,20.9272021035896,25.9466329403819,28.1126234799907,34,45,51,55.8,59.9,64.7,..
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,9.35185630557545,7.05418221980282,6.59445029079414,9.01736918631716,8.68693306584071,7.50483414393967,7.48073935864493,7.69544073664613,9.84358697736032,6.67573546182271,..
Argentina,ARG,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,..,..,88.8888888888889,85.5555555555555,86.6666666666667,87.7777777777778,86.6666666666667,85.5555555555555,85.5555555555555,76.6666666666667,83.3333333333333,95.5555666666667
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,11.6227270539489,18.1190431160743,30.7226062975864,30.5130447029869,31.5714919752886,25.0799013552962,27.0729863735592,28.3873778319738,24.5320623697727,25.2799099599851,25.5366229533467,..
Argentina,ARG,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,63.5593220339,100,121.9867318647,136.0798619957,169.9395313215,141.3192754205,148.735231645,175.4203564847,177.9632240419,174.0257502555,170.2755483564,..
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Net migration,SM.POP.NETM,..,..,..,-84998,..,..,..,..,30000,..,..,..
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,22840000.15,86343658.45,541300000,606430000,697560000,620589349.925834,639005839.557192,697697825.129916,575889669.49566,534766019.93844,502077244.396272,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1836000000,10418314339.1428,5537340000,6473150000,9725560000,4017158924.88408,7845718626.43446,10719930944.6815,15323933916.8241,8916661858.15874,6055282710.78072,..
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,168740000,52490000,115080000,101340000,130580000,126730000,121040000,88700000,179500000,32500000,49190000,..
Ecuador,ECU,"Population, total",SP.POP.TOTL,10218085,12628596,13967490,14205479,14447600,14691310,14934692,15177280,15419493,15661312,15902916,16144000
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,2.3838658719824,1.83728637652126,1.67682758446052,1.68952488553959,1.6900575540007,1.67278517216528,1.64306662368325,1.61127440195003,1.58329154406498,1.55609791681243,1.53090212522316,..
Ecuador,ECU,Surface area (sq. km),AG.SRF.TOTL.K2,283560,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370
Ecuador,ECU,Population density (people per sq. km of land area),EN.POP.DNST,36.9097131917353,50.8479465292318,56.2388870993719,57.1971291673377,58.1720083749396,59.1532855532292,60.1332420679659,61.1100016105653,62.0852512481881,63.0589144789821,64.0317120309228,..
Ecuador,ECU,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,64.4,37.6,36.7,35.1,36,32.8,28.6,27.3,25.6,22.5,..
Ecuador,ECU,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,28.15,9.31,10.06,8.96,8.92,7.05,5.86,5.87,4.43,..,..
Ecuador,ECU,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,14025773097.3235,19446095329.8549,43594533525.1645,47259892770.7353,56063528204.6426,60038263365.0443,65928948839.9371,74303854391.0332,83362698958.1087,90957824901.0346,96845062541.7914,..
Ecuador,ECU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1370,1540,3120,3330,3880,4090,4410,4900,5410,5810,6090,..
Ecuador,ECU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,45427351048.3935,68254141933.2252,108857295248.127,114259453670.174,125892568654.331,127932516716.201,134801235759.413,148271016983.175,159619568934.468,169396518569.245,178024753508.118,..
Ecuador,ECU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4450,5400,7790,8040,8710,8710,9030,9770,10350,10820,11190,..
Ecuador,ECU,Income share held by lowest 20%,SI.DST.FRST.20,..,3.05,3.57,3.31,3.72,3.95,4.1,4.38,4.3,4.56,..,..
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.9953658536586,72.9441707317073,74.3202195121951,74.4950243902439,74.6678292682927,74.8446097560976,75.0298048780488,75.2264390243903,75.433,75.648512195122,75.872487804878,76.1029268292683
Ecuador,ECU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.767,3.027,2.763,2.736,2.71,2.684,2.656,2.628,2.599,2.571,2.542,2.513
Ecuador,ECU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,86.7772,83.2328,82.9112,83.011,81.8738,80.7366,79.5994,78.4622,77.325,76.7488,76.1726,..
Ecuador,ECU,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,80.1,..,..,..
Ecuador,ECU,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,90.5,..,..,93.7,..
Ecuador,ECU,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,56.9,34.4,28.3,27.5,26.8,26,25.2,24.5,23.7,23,22.3,21.6
Ecuador,ECU,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,6.40000009536743,..,..,..
Ecuador,ECU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,60,99,97,98,98,97,95,94,96,97,85,..
Ecuador,ECU,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,..,96.84329,100.61106,100.60688,..,..,100.86143,107.93887,111.85759,112.88042,112.56042,..
Ecuador,ECU,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,123.52008,111.32613,111.63374,112.93363,..,110.77579,115.61833,117.19892,116.9833,115.82084,113.27226,..
